FASTQ,CT
LIB043892_GEN00166532_S2_L001_R1.fastq,B cell
LIB043892_GEN00166532_S2_L001_R2.fastq,B cell
LIB043892_GEN00166533_S3_L001_R1.fastq,T cell
LIB043892_GEN00166533_S3_L001_R2.fastq,T cell
LIB043892_GEN00166534_S4_L001_R1.fastq,T cell
LIB043892_GEN00166534_S4_L001_R2.fastq,T cell
LIB043892_GEN00166535_S5_L001_R1.fastq,MG
LIB043892_GEN00166535_S5_L001_R2.fastq,MG
LIB043892_GEN00166536_S6_L001_R1.fastq,MG
LIB043892_GEN00166536_S6_L001_R2.fastq,MG
LIB043892_GEN00166537_S7_L001_R1.fastq,Astrocyte
LIB043892_GEN00166537_S7_L001_R2.fastq,Astrocyte
LIB043892_GEN00166538_S8_L001_R1.fastq,Astrocyte
LIB043892_GEN00166538_S8_L001_R2.fastq,Astrocyte
LIB044986_GEN00173757_S1_L001_R1.fastq,Hepatocyte
LIB044986_GEN00173757_S1_L001_R2.fastq,Hepatocyte
LIB044986_GEN00173758_S2_L001_R1.fastq,Hepatocyte
LIB044986_GEN00173758_S2_L001_R2.fastq,Hepatocyte
LIB044986_GEN00173759_S3_L001_R1.fastq,Hepatocyte
LIB044986_GEN00173759_S3_L001_R2.fastq,Hepatocyte
LIB044986_GEN00173760_S4_L001_R1.fastq,Hepatocyte
LIB044986_GEN00173760_S4_L001_R2.fastq,Hepatocyte
LIB044986_GEN00173761_S5_L001_R1.fastq,Mammary Epithelial
LIB044986_GEN00173761_S5_L001_R2.fastq,Mammary Epithelial
LIB047627_TRA00195749_S1_L001_R1.fastq,Mel 5.1
LIB047627_TRA00195749_S1_L001_R2.fastq,Mel 5.1
LIB047627_TRA00195749_S1_L001.fastq,Mel 5.1
LIB047627_TRA00195750_S2_L001_R1.fastq,Mel 5.1
LIB047627_TRA00195750_S2_L001_R2.fastq,Mel 5.1
LIB047627_TRA00195750_S2_L001.fastq,Mel 5.1
LIB047627_TRA00195751_S3_L001_R1.fastq,Mel 5.1
LIB047627_TRA00195751_S3_L001_R2.fastq,Mel 5.1
LIB047627_TRA00195751_S3_L001.fastq,Mel 5.1
LIB047627_TRA00195752_S4_L001_R1.fastq,
LIB047627_TRA00195752_S4_L001_R2.fastq,
LIB047627_TRA00195752_S4_L001.fastq,
LIB047627_TRA00195753_S5_L001_R1.fastq,
LIB047627_TRA00195753_S5_L001_R2.fastq,
LIB047627_TRA00195753_S5_L001.fastq,
LIB047627_TRA00195754_S6_L001_R1.fastq,
LIB047627_TRA00195754_S6_L001_R2.fastq,
LIB047627_TRA00195754_S6_L001.fastq,
LIB047627_TRA00195755_S7_L001_R1.fastq,HMEC 5.1
LIB047627_TRA00195755_S7_L001_R2.fastq,HMEC 5.1
LIB047627_TRA00195755_S7_L001.fastq,HMEC 5.1
LIB047627_TRA00195756_S8_L001_R1.fastq,HMEC 5.1
LIB047627_TRA00195756_S8_L001_R2.fastq,HMEC 5.1
LIB047627_TRA00195756_S8_L001.fastq,HMEC 5.1
LIB047627_TRA00195757_S9_L001_R1.fastq,HMEC 5.1
LIB047627_TRA00195757_S9_L001_R2.fastq,HMEC 5.1
LIB047627_TRA00195757_S9_L001.fastq,HMEC 5.1
LIB047627_TRA00195758_S10_L001_R1.fastq,HMEC 5.4
LIB047627_TRA00195758_S10_L001_R2.fastq,HMEC 5.4
LIB047627_TRA00195758_S10_L001.fastq,HMEC 5.4
LIB047627_TRA00195759_S11_L001_R1.fastq,HMEC 5.4
LIB047627_TRA00195759_S11_L001_R2.fastq,HMEC 5.4
LIB047627_TRA00195759_S11_L001.fastq,HMEC 5.4
LIB047627_TRA00195760_S12_L001_R1.fastq,HMEC 5.4
LIB047627_TRA00195760_S12_L001_R2.fastq,HMEC 5.4
LIB047627_TRA00195760_S12_L001.fastq,HMEC 5.4
LIB047627_TRA00195761_S13_L001_R1.fastq,HMEC 6.2
LIB047627_TRA00195761_S13_L001_R2.fastq,HMEC 6.2
LIB047627_TRA00195761_S13_L001.fastq,HMEC 6.2
LIB047627_TRA00195762_S14_L001_R1.fastq,HMEC 6.2
LIB047627_TRA00195762_S14_L001_R2.fastq,HMEC 6.2
LIB047627_TRA00195762_S14_L001.fastq,HMEC 6.2
LIB047627_TRA00195763_S15_L001_R1.fastq,HMEC 6.2
LIB047627_TRA00195763_S15_L001_R2.fastq,HMEC 6.2
LIB047627_TRA00195763_S15_L001.fastq,HMEC 6.2
LIB047627_TRA00195764_S16_L001_R1.fastq,HMEC 5.2
LIB047627_TRA00195764_S16_L001_R2.fastq,HMEC 5.2
LIB047627_TRA00195764_S16_L001.fastq,HMEC 5.2
LIB047627_TRA00195765_S17_L001_R1.fastq,HMEC 5.2
LIB047627_TRA00195765_S17_L001_R2.fastq,HMEC 5.2
LIB047627_TRA00195765_S17_L001.fastq,HMEC 5.2
LIB047627_TRA00195766_S18_L001_R1.fastq,HMEC 5.2
LIB047627_TRA00195766_S18_L001_R2.fastq,HMEC 5.2
LIB047627_TRA00195766_S18_L001.fastq,HMEC 5.2
LIB047627_TRA00195767_S19_L001_R1.fastq,HMEC 6.1
