FASTQ,CT
LIB052276_GEN00217126_S44_L002_R1.fastq,MG
LIB052276_GEN00217126_S44_L002_R2.fastq,MG
LIB052276_GEN00217127_S45_L002_R1.fastq,MG
LIB052276_GEN00217127_S45_L002_R2.fastq,MG
LIB052276_GEN00217128_S46_L002_R1.fastq,MG
LIB052276_GEN00217128_S46_L002_R2.fastq,MG
LIB052276_GEN00217129_S47_L002_R1.fastq,MG
LIB052276_GEN00217129_S47_L002_R2.fastq,MG
LIB052276_GEN00217130_S48_L002_R1.fastq,Hepatocyte
LIB052276_GEN00217130_S48_L002_R2.fastq,Hepatocyte
LIB052276_GEN00217131_S48_L002_R1.fastq,Hepatocyte
LIB052276_GEN00217131_S48_L002_R2.fastq,Hepatocyte
LIB052276_GEN00217132_S49_L002_R1.fastq,Hepatocyte
LIB052276_GEN00217132_S49_L002_R2.fastq,Hepatocyte
LIB052276_GEN00217133_S50_L002_R1.fastq,Hepatocyte
LIB052276_GEN00217133_S50_L002_R2.fastq,Hepatocyte
LIB052276_GEN00217134_S51_L002_R1.fastq,Hepatocyte
LIB052276_GEN00217134_S51_L002_R2.fastq,Hepatocyte
LIB052276_GEN00217135_S52_L002_R1.fastq,Hepatocyte
LIB052276_GEN00217135_S52_L002_R2.fastq,Hepatocyte
LIB052276_GEN00217136_S53_L002_R1.fastq,B cell
LIB052276_GEN00217136_S53_L002_R2.fastq,B cell
LIB052276_GEN00217137_S54_L002_R1.fastq,B cell
LIB052276_GEN00217137_S54_L002_R2.fastq,B cell
LIB052276_GEN00217138_S55_L002_R1.fastq,T cell
LIB052276_GEN00217138_S55_L002_R2.fastq,T cell
LIB052276_GEN00217139_S56_L002_R1.fastq,T cell
LIB052276_GEN00217139_S56_L002_R2.fastq,T cell
LIB052276_GEN00217140_S57_L002_R1.fastq,T cell
LIB052276_GEN00217140_S57_L002_R2.fastq,T cell
LIB052276_GEN00217141_S58_L002_R1.fastq,B cell
LIB052276_GEN00217141_S58_L002_R2.fastq,B cell
LIB052276_GEN00217142_S59_L002_R1.fastq,B cell
LIB052276_GEN00217142_S59_L002_R2.fastq,B cell
LIB052276_GEN00217143_S60_L002_R1.fastq,B cell
LIB052276_GEN00217143_S60_L002_R2.fastq,B cell
LIB052276_GEN00217144_S61_L002_R1.fastq,B cell
LIB052276_GEN00217144_S61_L002_R2.fastq,B cell
LIB052276_GEN00217145_S62_L002_R1.fastq,B cell
LIB052276_GEN00217145_S62_L002_R2.fastq,B cell
LIB052276_GEN00217146_S63_L002_R1.fastq,B cell
LIB052276_GEN00217146_S63_L002_R2.fastq,B cell
LIB052276_GEN00217147_S64_L002_R1.fastq,MG
LIB052276_GEN00217147_S64_L002_R2.fastq,MG
LIB052276_GEN00217148_S65_L002_R1.fastq,MG
LIB052276_GEN00217148_S65_L002_R2.fastq,MG
LIB052276_GEN00217149_S66_L002_R1.fastq,MG
LIB052276_GEN00217149_S66_L002_R2.fastq,MG
LIB052276_GEN00217150_S67_L002_R1.fastq,T cell
LIB052276_GEN00217150_S67_L002_R2.fastq,T cell
LIB052276_GEN00217151_S68_L002_R1.fastq,T cell
LIB052276_GEN00217151_S68_L002_R2.fastq,T cell
LIB052276_GEN00217152_S69_L002_R1.fastq,T cell
LIB052276_GEN00217152_S69_L002_R2.fastq,T cell
LIB052276_GEN00217153_S70_L002_R1.fastq,T cell
LIB052276_GEN00217153_S70_L002_R2.fastq,T cell
LIB052276_GEN00217154_S71_L002_R1.fastq,T cell
LIB052276_GEN00217154_S71_L002_R2.fastq,T cell
LIB055464_GEN00232221_S1_L001_R1_001.fastq,GM2338
LIB055464_GEN00232221_S1_L001_R2_001.fastq,GM2338
LIB055464_GEN00232222_S2_L001_R1_001.fastq,GM2338
LIB055464_GEN00232222_S2_L001_R2_001.fastq,GM2338
LIB055464_GEN00232223_S3_L001_R1_001.fastq,h1-hESC
LIB055464_GEN00232223_S3_L001_R2_001.fastq,h1-hESC
